URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN SQ METRE,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
https://www.pararius.com/house-for-rent/rotterdam/e4bcd00f/maashaven-n-z,House Maashaven N.z.,3072 AE (Katendrecht),2495,210,8,Upholstered,"It's a view in a million. One that never bores: Katendrecht with the Rijnhaven, Maashaven, ships on the Maas, the high-rise icons of the city. What a place to live in Rotterdam this is. Here, in the Green Cape, Rotterdam still feels like the port city of yesteryear with its raw edges. But then combined with the comfort and luxury of today. What makes this house extra special is that it is a recently completed new-build home: ready to add the finishing touch to your own taste. Including your outdoor area such as backyard, balcony and roof terrace.  ",29-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,House,Existing building,2021,Location type is not available,5,2,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e4bcd00f/rotterdam/interhouse-verhuurmakelaars-rotterdam/request-details,2022-08-03 17:36:46
https://www.pararius.com/apartment-for-rent/rotterdam/0bb1f161/dordtselaan,Apartment Dordtselaan,3073 GS (Bloemhof),1095,64,3,Upholstered,Beautiful upholstered apartment with balcony for rent in Rotterdam with 2 bedrooms in the Bloemhof district.,03-08-2022,01-09-2022,Specifics are not available,Good,166,Apartment,Existing building,1931-1944,in a residential area,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/0bb1f161/rotterdam/donne-vastgoed/request-details,2022-08-03 17:36:46
https://www.pararius.com/apartment-for-rent/rotterdam/c58e6547/rockanjestraat,Apartment Rockanjestraat 13 C,3082 SM (Oud Charlois),1050,71,2,Upholstered,Beautiful upholstered apartment for rent in Rotterdam with 1 bedroom in the Oud Charlois district.,03-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,New development,2021,Location type is not available,1,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/c58e6547/rotterdam/cornus-vastgoed-management-b-v/request-details,2022-08-03 17:36:47
https://www.pararius.com/apartment-for-rent/rotterdam/61a76688/burgemeester-hazenberglaan,Apartment Burgemeester Hazenberglaan,3078 HD (Groot IJsselmonde),1095,64,3,Furnished,"On the 7th floor of a well-kept residential complex with 2 elavators offers Interhouse Rotterdam you a very neat furnished 3-room apartment. The apartment is situated in the ‘Zomerland’ area, nearby shops, de Kuip and highways.  ",03-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1961,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/61a76688/rotterdam/interhouse-verhuurmakelaars-rotterdam/request-details,2022-08-03 17:36:48
https://www.pararius.com/apartment-for-rent/rotterdam/40a12f4c/nieuwe-binnenweg,Apartment Nieuwe Binnenweg,3021 GE (Middelland),1395,70,4,Upholstered,"Spacious, recently renovated  4-room apartment at the Nieuwe Binnenweg in the Delfshaven district for rent, with a brilliant view over the city from the roof terrace! The accommodation is rented in partly decorated condition and is situated on the second floor. The city centre is reachable in 5 minutes by bike and in 10 minutes by public transport. In short distance you can find the trendy Nieuwe Binnenweg with several popular bars, restaurants, the supermarket and shops.",03-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/40a12f4c/rotterdam/perfectrent-rotterdam/request-details,2022-08-03 17:36:50
https://www.pararius.com/apartment-for-rent/rotterdam/28acdb00/klaverstraat,Apartment Klaverstraat 4 a2,3083 VH (Carnisse),800,55,2,Interior is not available,Nice two-room apartment in cozy Charlois!,03-08-2022,28-09-2022,Specifics are not available,Upkeep is not available,165,Apartment,Existing building,1926,Location type is not available,1,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/28acdb00/rotterdam/starthousing/request-details,2022-08-03 17:36:51
https://www.pararius.com/apartment-for-rent/rotterdam/dc2f3daa/amelandseplein,Apartment Amelandseplein,3083 SB (Carnisse),1500,111,5,Interior is not available,Charming apartment for rent in Rotterdam with 4 bedrooms in the Carnisse district.,03-08-2022,03-10-2022,Specifics are not available,Good,333,Apartment,Existing building,1931-1944,Location type is not available,4,Number of bathrooms is not available,3,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/dc2f3daa/rotterdam/rebid/request-details,2022-08-03 17:36:52
https://www.pararius.com/apartment-for-rent/rotterdam/e2648886/lombardkade,Apartment Lombardkade,3031 AH (Rubroek),1350,76,3,Furnished,"Beautiful and modern 2 bedroom apartment in the heart of Rotterdam. This furnished apartment is located in a quiet street in the city center within walking distance of the popular shopping street 'Meent', Markthal and Blaak station! All shops, restaurants, cafés and public transport are within walking distance. Great location with balcony and storage.",03-08-2022,01-09-2022,Specifics are not available,Good,212,Apartment,Existing building,1953,in a residential area,2,1,1,Present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/e2648886/rotterdam/verra-real-estate-rotterdam-den-haag/request-details,2022-08-03 17:36:52
https://www.pararius.com/apartment-for-rent/rotterdam/67e7283b/aelbrechtskade,Apartment Aelbrechtskade 12 a1,3022 HK (Nieuwe Westen),950,94,3,Upholstered,Lovely upholstered apartment with balcony for rent in Rotterdam with 2 bedrooms in the Nieuwe Westen district.,03-08-2022,Not available to book,Specifics are not available,Upkeep is not available,225,Apartment,Existing building,1927,Location type is not available,2,1,2,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/67e7283b/rotterdam/real-estate/request-details,2022-08-03 17:36:53
https://www.pararius.com/apartment-for-rent/rotterdam/afa85e4c/kortekade,Apartment Kortekade,3062 GM (Kralingen Oost),1025,60,2,Upholstered,TOP HOUSE! We immediately / see date offer this cozy one-bedroom apartment with sunny balcony for rent in the popular Kralingen!,03-08-2022,01-09-2022,Specifics are not available,Good,145,Apartment,Existing building,1926,Location type is not available,1,Number of bathrooms is not available,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/afa85e4c/rotterdam/fransen-vastgoed/request-details,2022-08-03 17:36:55
https://www.pararius.com/apartment-for-rent/rotterdam/143fb569/van-vollenhovenstraat,Apartment Van Vollenhovenstraat,3016 BE (Nieuwe Werk),1500,50,2,Furnished,"Boutique living in a new and renovated loft, location situated at the populair Scheepvaartkwartier.  ",03-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,2020,Location type is not available,1,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/143fb569/rotterdam/riva-rentals/request-details,2022-08-03 17:36:56
https://www.pararius.com/apartment-for-rent/rotterdam/a7353559/spanjaardstraat,Apartment Spanjaardstraat,3025 TM (Bospolder),1595,110,4,Furnished,STUDENT HOUSING for 3 students!,03-08-2022,Not available to book,Specifics are not available,Good,245,Apartment,Existing building,1913,Location type is not available,3,Number of bathrooms is not available,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/a7353559/rotterdam/fransen-vastgoed/request-details,2022-08-03 17:36:57
https://www.pararius.com/apartment-for-rent/rotterdam/288ec9f0/aegidiusstraat,Apartment Aegidiusstraat,3061 XP (Kralingen West),1700,104,4,Furnished,Perfect for SHARING!,03-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/288ec9f0/rotterdam/riva-rentals/request-details,2022-08-03 17:36:58
https://www.pararius.com/apartment-for-rent/rotterdam/88ea6ad0/middelharnisstraat,Apartment Middelharnisstraat,3086 GH (Pendrecht),856,57,3,Shell,"Spacious 3-room apartment at the Middelharnisstraat in the Charlois district for rent. The accommodation is rented in shell condition and is situated on the fourth floor. The city centre is reachable in 20 minutes by bike and in 25 minutes by public transport. With Plein 1953 and Slinge shopping street within walking distance, almost all necessary stores are located nearby. As several supermarkets, pharmacies, but also delicious eateries and the Zuiderpark. ",03-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/88ea6ad0/rotterdam/perfectrent-rotterdam/request-details,2022-08-03 17:36:59
https://www.pararius.com/apartment-for-rent/rotterdam/e4645e86/bergselaan,Apartment Bergselaan,3037 CJ (Liskwartier),1850,138,4,Upholstered,Conveniently located upholstered apartment with balcony for rent in Rotterdam with 3 bedrooms in the Liskwartier district.,03-08-2022,consultation,Specifics are not available,Reasonable,428,Apartment,Existing building,1913,Location type is not available,3,1,3,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/e4645e86/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-03 17:37:00
https://www.pararius.com/apartment-for-rent/rotterdam/fcedc79c/ceintuurbaan,Apartment Ceintuurbaan,3051 AE (Hillegersberg Zuid),1695,85,4,Upholstered,"ROTTERDAM HILLEGERSBERG: Spacious double layered apartment with 3 bedrooms and a balcony. The apartment has been renovated, is also available for 3 house sharers and is available directly!",03-08-2022,Not available to book,Specifics are not available,Upkeep is not available,221,Apartment,Existing building,1927,Location type is not available,3,1,2,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/fcedc79c/rotterdam/rental-rotterdam/request-details,2022-08-03 17:37:01
https://www.pararius.com/apartment-for-rent/rotterdam/d7adc188/hulkstraat,Apartment Hulkstraat,3028 VN (Oud Mathenesse),995,53,3,Upholstered,Curious about this property? The next viewing is on 06-08-2022 at 11:30. Sign up for the viewing of this property on the website of At Home Vastgoed!  ,02-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/d7adc188/rotterdam/at-home-vastgoed-beheer-bv/request-details,2022-08-03 17:37:02
https://www.pararius.com/apartment-for-rent/rotterdam/1ec402d1/zuidplein,Apartment Zuidplein,3083 CX (Zuidplein),1250,88,3,Upholstered,Curious about this property? The next viewing is on 06-08-2022 at 10:00. Sign up for the viewing of this property on the website of At Home Vastgoed!  ,02-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/1ec402d1/rotterdam/at-home-vastgoed-beheer-bv/request-details,2022-08-03 17:37:03
https://www.pararius.com/apartment-for-rent/rotterdam/9e0ac4c6/jan-sonjestraat,Apartment Jan Sonjéstraat,3021 TX (Middelland),1096,45,2,Upholstered,New for rent and available from the 1st of August!   ,02-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,New development,2021,Location type is not available,1,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/9e0ac4c6/rotterdam/yp-housing/request-details,2022-08-03 17:37:04
https://www.pararius.com/apartment-for-rent/rotterdam/2f001f3f/schalkeroord,Apartment Schalkeroord,3079 WC (Groot IJsselmonde),1450,65,3,Furnished,"Nicely furnished three room apartment on the first floor. The apartment is located in the IJsselmonde district, a stone's throw from the Keizerswaard shopping center. Bus 76 also stops within walking distance and several roads such as the A16 and A15 are very close.   ",02-08-2022,31-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1965,Location type is not available,2,Number of bathrooms is not available,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/2f001f3f/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:37:05
https://www.pararius.com/apartment-for-rent/rotterdam/45566eb0/kleiweg,Apartment Kleiweg,3051 SH (Hillegersberg Zuid),1295,77,4,Furnished,Spacious and bright 2 bedroom apartment of approximately 75 m² sunny GARDEN. The apartment is located in a central location in the middle of the cozy Kleiwegkwartier district near all necessary amenities.,02-08-2022,15-08-2022,Specifics are not available,Upkeep is not available,208,Apartment,Existing building,1927,Location type is not available,3,1,4,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/45566eb0/rotterdam/rent-an-apartment-rotterdam/request-details,2022-08-03 17:37:06
https://www.pararius.com/apartment-for-rent/rotterdam/ed5e56aa/handelsplein,Apartment Handelsplein 23,3071 PR (Kop van Zuid - Entrepot),1895,124,2,Furnished,This unique and attractively furnished loft house in the monumental area will be available for rent at the beginning of October. The apartment which is located at A location also has its own parking space in the underground garage.,02-08-2022,01-10-2022,Monumental building,Excellent,360,Apartment,Existing building,1897,Location type is not available,1,1,1,Present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/ed5e56aa/rotterdam/tweelwonen-nl-rotterdam/request-details,2022-08-03 17:37:07
https://www.pararius.com/apartment-for-rent/rotterdam/1629420b/schiedamseweg,Apartment Schiedamseweg,3025 AC (Bospolder),1000,45,2,Upholstered,Do you want to live in this playful and unique apartment?   ,02-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1910,Location type is not available,1,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/1629420b/rotterdam/vdm-vastgoed-groep-rotterdam/request-details,2022-08-03 17:37:08
https://www.pararius.com/apartment-for-rent/rotterdam/1b85e5ec/bergselaan,Apartment Bergselaan,3037 CJ (Liskwartier),1950,111,4,Furnished,Beautiful and spacious 4 room apartment with spacious garden available located in the popular Liskwartier area!,02-08-2022,Not available to book,Specifics are not available,Good,300,Apartment,Existing building,1913,in a residential area,3,1,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/1b85e5ec/rotterdam/verra-real-estate-rotterdam-den-haag/request-details,2022-08-03 17:37:09
https://www.pararius.com/apartment-for-rent/rotterdam/3fb7c3a4/van-der-hilststraat,Apartment Van der Hilststraat 10 B01,3023 PL (Nieuwe Westen),950,48,2,Upholstered,"PLEASE NOTE: due to the enormous interest we have received, it is no longer possible to qualify for this apartment. Sorry for the inconvenience.   ",02-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1901,Location type is not available,1,1,Number of floors is not available,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/3fb7c3a4/rotterdam/huurwoning-in-rotterdam/request-details,2022-08-03 17:37:10
https://www.pararius.com/apartment-for-rent/rotterdam/8295fd36/minstreelstraat,Apartment Minstreelstraat,3051 PH (Hillegersberg Zuid),1250,57,2,Upholstered,Nice upholstered apartment with balcony for rent in Rotterdam with 1 bedroom in the Hillegersberg Zuid district.,02-08-2022,consultation,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1960,in a residential area,1,Number of bathrooms is not available,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/8295fd36/rotterdam/rotsvast-rotterdam/request-details,2022-08-03 17:37:11
https://www.pararius.com/apartment-for-rent/rotterdam/ab1beddc/noordschans,Apartment Noordschans,3026 VZ (Tussendijken),1395,90,3,Upholstered,Luxurious renovated upper house with 2 bedrooms and spacious living room with open kitchen.   ,02-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1897,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/ab1beddc/rotterdam/vdm-vastgoed-groep-rotterdam/request-details,2022-08-03 17:37:12
